mz,mzmin,mzmax,rt,rtmin,rtmax,into,intb,maxo,mzo,mzoscan,sn
460.2284899,460.2262434,460.2293181,278.91,275.71,286.369,3483.910977,3453.733052,709.7337646,460.228787,381,89
648.8870948,648.8847693,648.8909594,71.486,61.097,78.525,4530.773187,4500.923636,516.1210327,648.8875194,125,95
416.2255832,416.2244455,416.226263,84.335,73.906,94.934,195514.1264,195396.802,17407.11719,416.2259871,138,479
434.2831312,434.2806103,434.2847915,94.184,79.315,99.434,10062.83474,10040.63547,1000.377808,434.2847426,153,171
175.122421,175.1215849,175.1226481,195.646,191.417,201.156,339319.0085,338815.2664,112556.9531,175.1225886,278,1250
527.4376753,527.4340876,527.4393769,158.909,153.3,164.459,11694.42251,10917.42375,4460.128906,527.4367503,233,46
652.3750736,652.3723625,652.3783983,177.928,173.818,180.888,2495.654064,2476.209471,744.086792,652.3742308,257,56
357.022725,357.0154328,357.0248644,330.276,324.536,335.186,565.3420116,502.4002355,186.8446503,357.0227415,446,9
652.407169,652.4012474,652.4081149,39.488,32.389,46.988,60995.66253,59672.13653,8131.355957,652.4075577,84,39
196.1320927,196.1305189,196.132755,200.336,197.196,203.676,2148.10659,2142.43659,670.5134277,196.1323384,284,670
318.1577284,318.1572326,318.1583028,80.145,70.656,86.735,36643.47978,35940.86716,4335.772461,318.1572326,135,59
648.1487082,648.144306,648.1566234,109.813,106.803,115.362,1366.325351,1261.060215,347.519165,648.1464128,175,11
192.1188314,192.1178083,192.1195577,68.126,62.597,75.436,5975.900965,5929.381711,839.3000488,192.1187455,119,42
263.159636,263.1573719,263.1630773,142.991,133.111,155.119,1300.023645,1188.059618,193.7711182,263.1573719,216,8
255.285335,255.2842869,255.2884677,127.952,122.992,133.111,10281.64434,10252.53347,4165.294922,255.2851931,195,347
520.3296848,520.3288626,520.3309099,108.273,97.944,115.362,242574.4997,239502.3383,27858.01172,520.3309099,172,127
373.1628281,373.1597143,373.1635923,32.389,28.289,37.099,3051.541136,3013.449326,1647.598389,373.1626419,75,61
605.7875323,605.7867769,605.7880186,198.686,192.277,205.346,77196.87409,77124.49986,16793.68359,605.7880186,283,1576
654.348976,654.3438963,654.351251,152.38,149.69,154.22,888.5565001,884.9325001,283.6486511,654.3501273,224,283
118.063978,118.063303,118.0652147,170.848,162.829,177.928,6452.113799,5242.877818,2176.303467,118.063844,248,17
472.300727,472.2980671,472.3019794,38.718,36.339,45.338,5938.954685,5882.848495,1525.674438,472.3019794,80,39
224.0846254,224.082366,224.0857426,37.099,33.949,41.988,3785.71999,3681.914452,1360.492432,224.084572,79,15
398.0669753,398.0632551,398.0687458,414.18,411.7,418.299,938.4473082,880.9468476,294.8887939,398.06806,551,10
533.7151171,533.710513,533.7162335,36.339,30.419,37.908,3053.637668,3043.827064,1508.494751,533.7149753,79,83
594.687665,594.6828529,594.6943517,157.399,155.119,158.909,487.0005481,483.9685481,275.5440979,594.6853202,230,275
