PeakID,Scans,RT left(min),RT (min),RT right (min),Precursor m/z,Height,Area,S/N
120,173,0.4278167,0.4873167,0.57965,687.1989,1259.008545,6137.275391,18.54459
121,173,0.09206667,0.4873167,0.6318,691.3452,8554.461914,42277.97266,261.6301
122,173,0.07656667,0.4873167,0.6581333,692.3477,3778.924072,20060.01758,74.53197
123,173,0.41365,0.4873167,0.6318,693.338,2570.026123,12247.68164,34.02954
124,173,0.2671667,0.4873167,0.5528167,702.9888,1408.783936,6562.970215,31.08769
125,173,0.1660667,0.4873167,0.60565,707.3397,1449.781616,7671.799805,21.94299
126,173,0.41365,0.4873167,0.5929833,708.5084,17897.00977,83489.94531,740.6052
127,173,0.4,0.4873167,0.5658166,709.3577,1682.024902,8250.638672,43.89053
128,173,0.1447333,0.4873167,0.5658166,710.4397,5599.95166,27643.37695,591.9094
129,173,0.1129,0.4873167,0.9307833,710.7736,4322.005371,20970.77148,505.9749
130,173,0.12355,0.4873167,0.7969667,711.107,3055.973877,14528.5166,55.22854
131,173,0.4,0.4873167,0.6318,723.5159,6442.42334,25830.31055,541.8123
132,173,0.2671667,0.4873167,0.6581333,725.1153,1075.459717,5030.680176,34.30857
133,173,0.06111667,0.4873167,0.6183167,731.413,52035.625,257076.0625,5184.361
134,173,0.1394,0.4873167,0.6453,732.42,23793.83398,117676.6953,951.2466
135,173,0.41365,0.4873167,0.6183167,733.4212,7521.553223,39822.33984,219.7007
136,173,0.41365,0.4873167,0.60565,746.2825,1022.502075,4600.231445,20.05293
137,173,0.05073333,0.4873167,0.6318,747.4069,13061.00098,64620.70313,390.2475
138,173,0.2671667,0.4873167,0.6453,748.4109,6244.777832,33035.46094,314.7628
139,173,0.1076167,0.4873167,0.5658166,749.4012,3797.26001,18235.83203,69.19855
140,173,0.12355,0.4873167,0.60565,750.3986,1608.497559,9071.827148,73.13014
141,173,0.41365,0.4873167,0.57965,758.2191,4484.785645,20850.98438,92.22567
142,173,0.41365,0.4873167,0.57965,759.2193,3244.320313,15156.92188,73.55694
143,173,0.4,0.4873167,0.57965,760.2175,2756.485352,13018.20313,55.28416
144,173,0.3382833,0.4873167,0.57965,761.2169,1419.582886,7246.553223,43.53101
145,173,0.41365,0.4873167,0.60565,763.402,2037.480347,10640.61133,38.4082
146,173,0.41365,0.4873167,0.5398167,765.4068,1090.077515,5531.350586,23.72804
147,173,0.1024,0.4873167,0.5658166,767.342,1304.461426,6245.463379,36.01785
148,173,0.1182167,0.4873167,0.5929833,774.315,8253.473633,37204.1875,224.4275
